URL,Rate,NameResort,Stars,KmFreeride,Continent,Country,State/Province,Altitude,Easy,Intermediate,Difficult,Adult,Currency,SkiResortSize ,VarietyOfRuns,LiftsAndCableCars,SnowReliability,OnSiteParking,InformationBoardsSignPostings,CleanlinessAndHygiene,EnvironmentallyFriendly,MountainRestaurants,ApresSki,AccommodationAtSlopesAndLifts,FamiliesAndChildren,Beginners,SnowParks,CrossCountryTrails,Country,Latitude,Longitude,TotalKms
http://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,4.9,KitzSki – Kitzbühel/Kirchberg,5.0,45.0,Europe,Austria,Tyrol (Tirol),2000.0,101.0,61.0,17.0,55,European Euro,"5,0",5.0,"5,0",5.0,"4,0","5,0","5,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0",AT,47.516231,14.550072,179
http://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,4.8,Ischgl/Samnaun – Silvretta Arena,5.0,15.0,Europe,Austria,Tyrol (Tirol),2872.0,47.0,142.0,49.0,53,European Euro,"5,0",5.0,"5,0",5.0,"4,0","5,0","5,0","4,0","5,0","5,0","5,0","4,0","4,0","5,0","4,0",AT,47.516231,14.550072,238
http://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,4.8,SkiWelt Wilder Kaiser-Brixental,5.0,26.0,Europe,Austria,Tyrol (Tirol),1957.0,122.0,129.0,33.0,49,European Euro,"5,0",5.0,"5,0",4.0,"5,0","4,0","5,0","5,0","5,0","4,0","4,0","5,0","5,0","5,0","5,0",AT,47.516231,14.550072,284
http://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/,4.8,Ski Arlberg,5.0,200.0,Europe,Austria,Tyrol (Tirol),2811.0,132.0,123.0,50.0,53,European Euro,"5,0",5.0,"5,0",5.0,"4,0","4,0","4,0","4,0","5,0","5,0","5,0","5,0","5,0","4,0","4,0",AT,47.516231,14.550072,305
http://www.skiresort.info/ski-resort/serfaus-fiss-ladis/,4.8,Serfaus-Fiss-Ladis,5.0,28.0,Europe,Austria,Tyrol (Tirol),2820.0,47.0,123.0,28.0,51,European Euro,"5,0",5.0,"5,0",5.0,"4,0","5,0","4,0","4,0","5,0","4,0","4,0","5,0","4,0","5,0","4,0",AT,47.516231,14.550072,198
http://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,4.7,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),5.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2096.0,140.0,112.0,18.0,53,European Euro,"5,0",5.0,"5,0",4.0,"3,0","5,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","5,0","4,0",AT,47.516231,14.550072,270
http://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,4.7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),5.0,3.6,Europe,Austria,Tyrol (Tirol),2378.0,28.7,41.3,13.0,"52,50",European Euro,"4,0",5.0,"5,0",5.0,"5,0","5,0","5,0","4,0","5,0","4,0","5,0","5,0","5,0","4,0","3,0",AT,47.516231,14.550072,83
http://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,4.7,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,5.0,3.0,Europe,Austria,Tyrol (Tirol),2500.0,43.0,89.0,11.0,52,European Euro,"5,0",5.0,"5,0",5.0,"4,0","4,0","5,0","4,0","5,0","4,0","5,0","5,0","4,0","5,0","4,0",AT,47.516231,14.550072,143
http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/,4.7, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4.0,4.0,Europe,Austria,Styria (Steiermark),2015.0,46.4,68.3,8.3,"51,50",European Euro,"5,0",5.0,"5,0",5.0,"4,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","3,0","5,0","4,0",AT,47.516231,14.550072,122
http://www.skiresort.info/ski-resort/soelden/,4.7,Sölden,5.0,0.0,Europe,Austria,Tyrol (Tirol),3340.0,70.2,44.6,29.4,53,European Euro,"5,0",5.0,"5,0",5.0,"4,0","5,0","5,0","4,0","5,0","5,0","5,0","4,0","4,0","4,0","3,0",AT,47.516231,14.550072,144
http://www.skiresort.info/ski-resort/silvretta-montafon/,4.6,Silvretta Montafon,5.0,23.0,Europe,Austria,Vorarlberg,2430.0,60.0,45.0,8.0,"52,50",European Euro,"5,0",5.0,"4,0",5.0,"4,0","5,0","4,0","4,0","5,0","4,0","3,0","5,0","4,0","5,0","3,0",AT,47.516231,14.550072,113
http://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,4.6,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,5.0,8.7,Europe,Austria,Tyrol (Tirol),2500.0,40.0,63.0,33.0,52,European Euro,"5,0",5.0,"5,0",5.0,"4,0","4,0","5,0","4,0","4,0","5,0","4,0","5,0","5,0","5,0","3,0",AT,47.516231,14.550072,136
http://www.skiresort.info/ski-resort/obertauern/,4.5, Obertauern,4.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2313.0,61.0,35.0,4.0,"45,50",European Euro,"4,0",4.0,"5,0",5.0,"3,0","4,0","4,0","3,0","4,0","5,0","5,0","5,0","4,0","3,0","4,0",AT,47.516231,14.550072,100
http://www.skiresort.info/ski-resort/gurgl-obergurgl-hochgurgl/,4.5,Gurgl – Obergurgl-Hochgurgl,5.0,4.5,Europe,Austria,Tyrol (Tirol),3082.0,35.0,55.0,20.0,52,European Euro,"4,0",5.0,"5,0",5.0,"3,0","4,0","5,0","3,0","5,0","4,0","5,0","4,0","5,0","4,0","3,0",AT,47.516231,14.550072,110
